Record,Time_s,Positive_count,Negative_count
Video1,-0.24630706297307178,-0.15197134494028514,0.02234153091727843
Video2,0.4269802238795138,-0.2497650032030169,-0.6609042048479385
Video3,-0.5829507063993645,-0.012266118850668318,0.2097806265696831
Video4,-0.594559107896823,0.02126313541083972,-0.3404438155067306
Video5,-0.2811322674654469,-0.1352067178095311,-0.27030531519808887
Video6,0.009077769971012405,-0.19108880824537783,-0.31625812574513
Video7,-0.3391742749527388,-0.19108880824537783,-0.3404438155067306
Video8,-0.31595747195782203,-0.1407949268531158,-0.3404438155067306
Video9,-0.30434907046036364,-0.15197134494028514,-0.3525366603875309
Video10,5.929362533674782,-0.15197134494028514,-0.35858308282793105
Video11,-0.3391742749527388,-0.10447156806981542,-0.3404438155067306
Video12,0.03229457296592915,1.6641965942247334,-0.32230454818553017
Video13,-0.08378944200865457,-0.009472014328875981,-0.31625812574513
Video14,-0.19290841608476333,-0.7610861306910145,-0.3525366603875309
Video15,-0.3391742749527388,-0.7527038171256374,-0.3525366603875309
Video16,-0.3391742749527388,-0.7610861306910145,-0.4057451778630522
Video17,-0.31595747195782203,-0.06032471662549647,3.2208990018889576
Video18,-0.30434907046036364,-0.8169682211268612,-0.6609042048479385
Video19,-0.8963775468307407,0.13302731628253317,0.8144228706096982
Video20,-0.6642095168815731,-0.1352067178095311,0.6934944218016952
Video21,-0.03735583601882108,-0.1352067178095311,-0.3404438155067306
Video22,-0.5411604610085144,-0.1407949268531158,3.30554891605456
Video23,0.04390297446338752,-0.1435890313749081,-0.3404438155067306
Video24,0.02068617146847078,-0.14917724041849278,-0.32230454818553017
Video25,0.0555113759608459,-0.14917724041849278,-0.3404438155067306
Video26,0.12516178494559613,-0.13855964323568187,-0.3404438155067306
Video27,0.35732981489476356,-0.14917724041849278,-0.33439739306633043
Video28,0.04390297446338752,-0.19108880824537783,-0.31625812574513
Video29,-0.47708208474254427,5.754765614128714,3.4808951668261643
Video30,-0.04896423751627946,-0.1407949268531158,-0.3404438155067306
Video31,0.009077769971012405,-0.2525591077248092,-0.32230454818553017
Video32,-0.04896423751627946,-0.12961850876594644,-0.31625812574513
Video33,0.04390297446338752,-0.12682440424415412,-0.33802524653057053
Video34,0.009077769971012405,-0.1324126132877388,-0.31625812574513
Video35,0.04390297446338752,-0.12682440424415412,-0.3404438155067306
Video36,0.0555113759608459,-0.1324126132877388,-0.3525366603875309
Video37,-0.04432087691729604,-0.1352067178095311,-0.34649023794713074
Video38,0.04390297446338752,-0.1407949268531158,-0.3283509706259303
Video39,0.04390297446338752,-0.1407949268531158,-0.3525366603875309
Video40,0.04390297446338752,-0.1407949268531158,-0.3283509706259303
